Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-08-05,2169.000000,2196.000000,2118.300049,2126.449951,2119.631348,34404810,2102.9249878,2150.7000000,2064.4599854,2109.6500000,2102.8851563,34526451.0000000
2020-08-06,2157.000000,2167.699951,2107.800049,2134.100098,2127.256836,22762545,2118.2299927,2159.5000000,2076.1049927,2117.2800049,2110.4906983,34110603.8000000
2020-08-07,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,15222303,2125.4099976,2158.9800049,2082.3449829,2117.3100098,2110.5206056,30067267.3000000
2020-08-10,2159.100098,2165.000000,2108.100098,2119.850098,2113.052490,12441573,2123.4400025,2155.6000000,2080.3650025,2113.6750245,2106.8972657,27605358.1000000
2020-08-11,2134.800049,2160.000000,2100.350098,2133.800049,2126.957764,21611256,2121.3000123,2152.2000000,2075.3350221,2109.2850343,2102.5213624,27222954.0000000
2020-08-12,2121.000000,2145.000000,2106.800049,2127.600098,2120.777832,13967116,2115.6100221,2148.4199951,2078.9700319,2112.3800539,2105.6064698,25266250.9000000
2020-08-13,2128.000000,2138.899902,2110.000000,2122.050049,2115.245361,11459190,2118.5100221,2148.3399902,2082.7700319,2113.7000490,2106.9222168,23049800.0000000
2020-08-14,2122.550049,2157.000000,2089.250000,2113.800049,2107.021973,15333164,2119.3150270,2151.1399902,2086.4150270,2118.3700441,2111.5772461,21123803.1000000
2020-08-17,2105.000000,2105.000000,2070.100098,2091.350098,2084.644043,14296834,2124.6850221,2155.9399902,2093.1150392,2126.6050539,2119.7858643,20397572.3000000
2020-08-18,2085.000000,2134.300049,2082.350098,2118.550049,2111.756592,14097746,2131.1250245,2152.6699951,2101.3250490,2123.4000490,2116.5911378,17559653.7000000
2020-08-19,2141.000000,2154.000000,2121.350098,2131.550049,2124.715088,15731396,2128.3250245,2148.4699951,2101.6300539,2123.9100588,2117.0995118,15692312.3000000
2020-08-20,2120.000000,2123.899902,2088.000000,2097.050049,2090.325684,10401212,2124.6250245,2144.0899902,2099.6500490,2120.2050539,2113.4063966,14456179.0000000
2020-08-21,2118.000000,2122.000000,2077.000000,2081.850098,2075.174316,11667129,2123.4450196,2140.5099853,2095.3300539,2113.7450686,2106.9671143,14100661.6000000
2020-08-24,2091.399902,2104.500000,2070.500000,2095.750000,2089.029785,15098991,2116.6750000,2134.4599853,2091.5700441,2111.3350588,2104.5648438,14366403.4000000
2020-08-25,2106.000000,2111.300049,2078.000000,2082.100098,2075.423584,8947563,2113.7949951,2129.5899902,2089.3350343,2106.1650637,2099.4114258,13100034.1000000
2020-08-26,2085.000000,2147.949951,2047.000000,2137.300049,2130.446533,27630190,2110.1949951,2129.8849853,2083.3550294,2107.1350588,2100.3782959,14466341.5000000
2020-08-27,2148.000000,2150.000000,2103.250000,2110.600098,2103.832275,12961252,2112.1949951,2130.9949951,2082.6800294,2105.9900637,2099.2369873,14616547.7000000
2020-08-28,2120.000000,2132.899902,2106.250000,2116.149902,2109.364258,12537520,2111.9399902,2128.5849853,2084.3800294,2106.2250490,2099.4712158,14336983.3000000
2020-08-31,2174.000000,2174.000000,2060.350098,2080.699951,2074.028076,28648125,2118.8399902,2135.4849853,2083.4050294,2105.1600343,2098.4096191,15772112.4000000
2020-09-01,2100.000000,2122.399902,2062.399902,2087.250000,2080.556885,17821397,2120.3399902,2134.2949706,2081.4100098,2102.0300294,2095.2896484,16144477.5000000
2020-09-02,2092.000000,2138.000000,2085.000000,2128.199951,2121.375732,12437162,2115.4399902,2132.6949706,2077.7750000,2101.6950196,2094.9557128,15815054.1000000
2020-09-03,2128.000000,2138.750000,2103.000000,2112.100098,2105.327393,8577634,2116.2399902,2134.1799804,2079.2750000,2103.2000245,2096.4558837,15632696.3000000
2020-09-04,2083.550049,2096.949951,2072.199951,2077.250000,2070.589111,13141644,2112.7949951,2131.6749755,2078.7949951,2102.7400147,2095.9973632,15780147.8000000
2020-09-07,2084.000000,2105.750000,2044.250000,2082.649902,2075.971680,10119064,2112.0550049,2131.7999755,2076.1699951,2101.4300049,2094.6915527,15282155.1000000
2020-09-08,2092.000000,2121.000000,2080.500000,2107.100098,2100.343506,12643749,2110.6550049,2132.7699706,2076.4199951,2103.9300049,2097.1835449,15651773.7000000
2020-09-09,2085.000000,2167.800049,2081.449951,2161.350098,2154.419434,25525961,2110.6550049,2134.7549804,2079.8649902,2106.3350098,2099.5808350,15441350.8000000
2020-09-10,2183.100098,2344.949951,2175.350098,2314.000000,2306.579834,64750460,2114.1650147,2154.2499755,2087.0750000,2126.6750000,2119.8555909,20620271.6000000
2020-09-11,2312.000000,2337.850098,2287.100098,2319.750000,2312.311523,27445768,2133.3650147,2174.7449951,2105.1600098,2147.0350098,2140.1503174,22111096.4000000
2020-09-14,2325.000000,2360.000000,2282.000000,2302.550049,2295.166748,20335273,2148.4650147,2193.3449951,2127.3250000,2169.2200196,2162.2641846,21279811.2000000
2020-09-15,2311.949951,2325.750000,2288.149902,2318.850098,2311.414551,12542824,2169.6600098,2213.6800049,2149.9000000,2192.3800294,2185.3499512,20751953.9000000
2020-09-16,2320.000000,2369.350098,2310.550049,2324.550049,2317.096191,15668979,2192.4600098,2236.8150147,2172.4550049,2212.0150392,2204.9219971,21075135.6000000
2020-09-17,2320.000000,2333.699951,2291.850098,2298.750000,2291.378906,11919927,2211.6600098,2256.3100098,2191.3400147,2230.6800294,2223.5271484,21409364.9000000
2020-09-18,2314.250000,2319.449951,2276.550049,2305.699951,2298.306396,15264068,2234.7300049,2278.5600098,2211.7750245,2253.5250245,2246.2988769,21621607.3000000
2020-09-21,2300.000000,2336.000000,2247.350098,2255.850098,2248.616455,15519031,2256.3300049,2301.5850098,2232.0850343,2270.8450441,2263.5633544,22161604.0000000
2020-09-22,2277.000000,2277.000000,2201.550049,2211.149902,2204.059570,16056620,2274.8300049,2317.1850098,2244.1900392,2281.2500245,2273.9349608,22502891.1000000
2020-09-23,2260.000000,2276.750000,2205.300049,2230.800049,2223.646729,19839282,2292.3300049,2328.0800049,2256.5750490,2288.1950196,2280.8576903,21934223.2000000
